support,itemsets
0.245,"frozenset({'current_act_YES', 'sex_MALE', 'children_(-0.0, 1.0]'})"
0.22666666666666666,"frozenset({'married_YES', 'sex_MALE', 'children_(-0.0, 1.0]'})"
0.225,"frozenset({'sex_MALE', 'save_act_YES', 'children_(-0.0, 1.0]'})"
0.23666666666666666,"frozenset({'mortgage_NO', 'current_act_YES', 'sex_MALE'})"
0.22,"frozenset({'mortgage_NO', 'sex_MALE', 'save_act_YES'})"
0.205,"frozenset({'married_YES', 'sex_MALE', 'mortgage_NO'})"
0.265,"frozenset({'current_act_YES', 'sex_MALE', 'save_act_YES'})"
0.36666666666666664,"frozenset({'current_act_YES', 'car_YES'})"
0.3233333333333333,"frozenset({'married_YES', 'car_YES'})"
0.2633333333333333,"frozenset({'pep_NO', 'car_YES'})"
0.24833333333333332,"frozenset({'sex_MALE', 'car_YES'})"
0.34833333333333333,"frozenset({'save_act_YES', 'car_YES'})"
0.3233333333333333,"frozenset({'mortgage_NO', 'car_YES'})"
0.31833333333333336,"frozenset({'children_(-0.0, 1.0]', 'car_YES'})"
0.245,"frozenset({'sex_FEMALE', 'car_YES'})"
0.23666666666666666,"frozenset({'married_YES', 'current_act_YES', 'car_YES'})"
0.24,"frozenset({'married_YES', 'save_act_YES', 'car_YES'})"
0.21333333333333335,"frozenset({'married_YES', 'car_YES', 'mortgage_NO'})"
0.26666666666666666,"frozenset({'current_act_YES', 'save_act_YES', 'car_YES'})"
0.23833333333333334,"frozenset({'mortgage_NO', 'current_act_YES', 'car_YES'})"
0.235,"frozenset({'mortgage_NO', 'save_act_YES', 'car_YES'})"
0.235,"frozenset({'current_act_YES', 'children_(-0.0, 1.0]', 'car_YES'})"
0.22333333333333333,"frozenset({'children_(-0.0, 1.0]', 'save_act_YES', 'car_YES'})"
0.215,"frozenset({'married_YES', 'children_(-0.0, 1.0]', 'car_YES'})"
0.295,"frozenset({'income_(24386.0, 43758.0]', 'current_act_YES'})"
0.24666666666666667,"frozenset({'income_(24386.0, 43758.0]', 'married_YES'})"
0.215,"frozenset({'income_(24386.0, 43758.0]', 'car_YES'})"
0.20666666666666667,"frozenset({'income_(24386.0, 43758.0]', 'pep_NO'})"
0.27166666666666667,"frozenset({'income_(24386.0, 43758.0]', 'save_act_YES'})"
0.24666666666666667,"frozenset({'income_(24386.0, 43758.0]', 'mortgage_NO'})"
0.205,"frozenset({'income_(24386.0, 43758.0]', 'sex_FEMALE'})"
0.2633333333333333,"frozenset({'income_(24386.0, 43758.0]', 'children_(-0.0, 1.0]'})"
0.20666666666666667,"frozenset({'income_(24386.0, 43758.0]', 'current_act_YES', 'save_act_YES'})"
0.25666666666666665,"frozenset({'current_act_YES', 'mortgage_YES'})"
0.225,"frozenset({'married_YES', 'mortgage_YES'})"
0.25,"frozenset({'children_(-0.0, 1.0]', 'mortgage_YES'})"
0.24,"frozenset({'save_act_YES', 'mortgage_YES'})"
0.21333333333333335,"frozenset({'region_TOWN', 'current_act_YES'})"
0.21333333333333335,"frozenset({'region_TOWN', 'save_act_YES'})"
0.5316666666666666,"frozenset({'current_act_YES', 'save_act_YES'})"
0.25166666666666665,"frozenset({'age_(51.0, 67.0]', 'save_act_YES'})"
0.24,"frozenset({'age_(51.0, 67.0]', 'current_act_YES'})"
0.21333333333333335,"frozenset({'age_(51.0, 67.0]', 'mortgage_NO'})"
0.21333333333333335,"frozenset({'age_(51.0, 67.0]', 'married_YES'})"
0.20166666666666666,"frozenset({'age_(51.0, 67.0]', 'children_(-0.0, 1.0]'})"
0.29,"frozenset({'income_(4956.0, 24386.0]', 'age_(18.0, 34.0]'})"
0.255,"frozenset({'current_act_YES', 'age_(18.0, 34.0]'})"
0.21333333333333335,"frozenset({'married_YES', 'age_(18.0, 34.0]'})"
0.20833333333333334,"frozenset({'mortgage_NO', 'age_(18.0, 34.0]'})"
0.20666666666666667,"frozenset({'pep_NO', 'age_(18.0, 34.0]'})"
0.20833333333333334,"frozenset({'children_(-0.0, 1.0]', 'age_(18.0, 34.0]'})"
0.23,"frozenset({'current_act_YES', 'income_(4956.0, 24386.0]', 'age_(18.0, 34.0]'})"
